Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
dual_pivot_quick_sort,15,1000,10,10860.10,4173.90
hybrid_sort,15,1000,10,11122.40,6176.20
quick_sort,15,2000,10,24409.70,13138.10
dual_pivot_quick_sort,15,2000,10,24124.00,9335.00
hybrid_sort,15,2000,10,24804.20,13399.90
quick_sort,15,3000,10,39719.90,20983.40
dual_pivot_quick_sort,15,3000,10,39125.70,15498.40
hybrid_sort,15,3000,10,40654.10,22004.60
quick_sort,15,4000,10,54587.30,29205.00
dual_pivot_quick_sort,15,4000,10,55319.00,21990.60
hybrid_sort,15,4000,10,56150.20,29028.50
quick_sort,15,5000,10,71690.70,39322.70
dual_pivot_quick_sort,15,5000,10,73031.10,27893.90
hybrid_sort,15,5000,10,71008.10,37349.80
quick_sort,15,6000,10,87823.10,46726.30
dual_pivot_quick_sort,15,6000,10,88919.40,33513.00
hybrid_sort,15,6000,10,90092.10,48730.60
quick_sort,15,7000,10,106005.10,55881.10
dual_pivot_quick_sort,15,7000,10,103320.30,40400.80
hybrid_sort,15,7000,10,104225.70,56033.00
quick_sort,15,8000,10,122639.70,65133.30
dual_pivot_quick_sort,15,8000,10,121179.10,48176.30
hybrid_sort,15,8000,10,122857.40,63536.40
quick_sort,15,9000,10,140655.50,74894.50
dual_pivot_quick_sort,15,9000,10,136340.30,54671.10
hybrid_sort,15,9000,10,141654.90,76878.90
quick_sort,15,10000,10,158430.50,84311.40
dual_pivot_quick_sort,15,10000,10,158777.00,61344.50
hybrid_sort,15,10000,10,157844.00,83025.00
quick_sort,15,11000,10,174060.50,91455.60
dual_pivot_quick_sort,15,11000,10,176229.90,68933.10
hybrid_sort,15,11000,10,175533.60,93355.30
quick_sort,15,12000,10,193038.70,98515.50
dual_pivot_quick_sort,15,12000,10,191621.10,75774.50
hybrid_sort,15,12000,10,192436.90,99909.60
quick_sort,15,13000,10,207473.10,111145.50
dual_pivot_quick_sort,15,13000,10,211207.70,82647.80
hybrid_sort,15,13000,10,213192.30,109639.90
quick_sort,15,14000,10,227645.90,121981.30
dual_pivot_quick_sort,15,14000,10,229305.70,88761.50
hybrid_sort,15,14000,10,226756.70,119396.30
quick_sort,15,15000,10,245864.00,131805.80
dual_pivot_quick_sort,15,15000,10,241591.10,95349.70
hybrid_sort,15,15000,10,250377.20,134261.80
quick_sort,15,16000,10,265522.70,138498.10
dual_pivot_quick_sort,15,16000,10,265647.40,102916.00
hybrid_sort,15,16000,10,268419.50,141274.40
quick_sort,15,17000,10,282546.90,149502.60
dual_pivot_quick_sort,15,17000,10,283510.90,112684.70
hybrid_sort,15,17000,10,285328.10,149070.10
quick_sort,15,18000,10,300947.40,162750.80
dual_pivot_quick_sort,15,18000,10,300734.70,116084.50
hybrid_sort,15,18000,10,300445.40,156416.00
quick_sort,15,19000,10,314963.30,170646.40
dual_pivot_quick_sort,15,19000,10,320688.30,123144.60
hybrid_sort,15,19000,10,316040.10,163831.30
quick_sort,15,20000,10,336314.30,180680.00
dual_pivot_quick_sort,15,20000,10,345036.80,131943.20
hybrid_sort,15,20000,10,347304.40,183269.60
quick_sort,15,21000,10,358059.00,185581.70
dual_pivot_quick_sort,15,21000,10,358818.10,140857.00
hybrid_sort,15,21000,10,361358.70,187993.30
