Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
hybrid_sort,15,41000,10,766042.10,413481.10
quick_sort,15,42000,10,775632.90,412023.60
dual_pivot_quick_sort,15,42000,10,724176.80,297275.10
hybrid_sort,15,42000,10,790208.80,422250.70
quick_sort,15,43000,10,787294.80,411571.50
dual_pivot_quick_sort,15,43000,10,722999.30,314325.20
hybrid_sort,15,43000,10,819418.80,443387.10
quick_sort,15,44000,10,818308.10,428784.00
dual_pivot_quick_sort,15,44000,10,741471.50,321088.40
hybrid_sort,15,44000,10,821487.20,433432.60
quick_sort,15,45000,10,851445.00,445946.00
dual_pivot_quick_sort,15,45000,10,764166.80,316769.10
hybrid_sort,15,45000,10,835184.10,437793.30
quick_sort,15,46000,10,876645.30,469493.70
dual_pivot_quick_sort,15,46000,10,779799.20,348841.40
hybrid_sort,15,46000,10,853563.90,448510.00
quick_sort,15,47000,10,868043.70,468047.40
dual_pivot_quick_sort,15,47000,10,810162.50,345196.30
hybrid_sort,15,47000,10,884947.20,450870.60
quick_sort,15,48000,10,886848.30,477874.60
dual_pivot_quick_sort,15,48000,10,830133.40,356042.10
hybrid_sort,15,48000,10,894507.70,463038.20
quick_sort,15,49000,10,910040.40,484522.00
dual_pivot_quick_sort,15,49000,10,836590.90,347612.60
hybrid_sort,15,49000,10,942622.80,502829.80
quick_sort,15,50000,10,950177.90,504936.70
dual_pivot_quick_sort,15,50000,10,843867.20,369739.70
hybrid_sort,15,50000,10,939088.70,494288.50
quick_sort,15,1000,100,10986.41,6168.77
dual_pivot_quick_sort,15,1000,100,10114.78,4316.41
hybrid_sort,15,1000,100,11220.64,5911.25
quick_sort,15,2000,100,24664.56,13357.65
dual_pivot_quick_sort,15,2000,100,22851.01,9594.38
hybrid_sort,15,2000,100,24912.85,13301.23
quick_sort,15,3000,100,39351.14,21279.05
dual_pivot_quick_sort,15,3000,100,36265.56,15406.23
hybrid_sort,15,3000,100,40064.29,21147.27
quick_sort,15,4000,100,54807.97,29693.39
dual_pivot_quick_sort,15,4000,100,50289.57,21622.13
hybrid_sort,15,4000,100,55683.96,29198.76
quick_sort,15,5000,100,70920.36,37889.44
dual_pivot_quick_sort,15,5000,100,65226.27,27587.72
hybrid_sort,15,5000,100,71478.47,37776.57
quick_sort,15,6000,100,87560.39,46846.32
dual_pivot_quick_sort,15,6000,100,80185.30,34140.20
hybrid_sort,15,6000,100,88174.10,46524.51
quick_sort,15,7000,100,103829.56,55761.15
dual_pivot_quick_sort,15,7000,100,95170.52,40772.03
hybrid_sort,15,7000,100,105288.84,55977.24
quick_sort,15,8000,100,120034.93,64367.32
dual_pivot_quick_sort,15,8000,100,110999.38,47265.91
hybrid_sort,15,8000,100,121037.22,64234.17
quick_sort,15,9000,100,138734.81,74591.87
dual_pivot_quick_sort,15,9000,100,127384.65,54091.48
hybrid_sort,15,9000,100,139132.02,73975.81
quick_sort,15,10000,100,155278.85,82910.57
dual_pivot_quick_sort,15,10000,100,142370.80,59991.06
hybrid_sort,15,10000,100,158141.35,84011.78
quick_sort,15,11000,100,173969.70,92880.38
dual_pivot_quick_sort,15,11000,100,159459.80,67758.13
hybrid_sort,15,11000,100,174622.54,92040.00
quick_sort,15,12000,100,191185.88,101858.38
dual_pivot_quick_sort,15,12000,100,174739.82,75036.98
hybrid_sort,15,12000,100,194024.20,101503.63
quick_sort,15,13000,100,210414.25,112261.67
dual_pivot_quick_sort,15,13000,100,191505.80,82503.19
hybrid_sort,15,13000,100,211526.33,111875.00
quick_sort,15,14000,100,227128.43,120910.80
dual_pivot_quick_sort,15,14000,100,207821.15,89599.55
hybrid_sort,15,14000,100,230699.49,120980.69
quick_sort,15,15000,100,244354.04,131252.18
dual_pivot_quick_sort,15,15000,100,224319.63,95445.61
hybrid_sort,15,15000,100,248225.67,131256.58
quick_sort,15,16000,100,264318.36,140629.92
dual_pivot_quick_sort,15,16000,100,241825.11,103818.23
hybrid_sort,15,16000,100,266546.51,139399.52
quick_sort,15,17000,100,282091.53,150804.26
dual_pivot_quick_sort,15,17000,100,257289.24,111664.49
hybrid_sort,15,17000,100,285367.07,150974.79
quick_sort,15,18000,100,302096.95,160630.80
dual_pivot_quick_sort,15,18000,100,274858.53,119791.43
hybrid_sort,15,18000,100,306643.78,162988.85
quick_sort,15,19000,100,319628.58,171609.27
dual_pivot_quick_sort,15,19000,100,291158.47,125317.18
hybrid_sort,15,19000,100,322508.75,170335.75
quick_sort,15,20000,100,341503.94,180764.00
dual_pivot_quick_sort,15,20000,100,311329.24,133150.69
hybrid_sort,15,20000,100,339860.15,178667.17
quick_sort,15,21000,100,360531.21,194423.03
dual_pivot_quick_sort,15,21000,100,327251.13,140513.37
hybrid_sort,15,21000,100,360132.06,191546.43
quick_sort,15,22000,100,378098.66,198481.76
dual_pivot_quick_sort,15,22000,100,345370.36,148202.15
hybrid_sort,15,22000,100,381492.95,200029.36
quick_sort,15,23000,100,397001.56,211145.05
dual_pivot_quick_sort,15,23000,100,361611.37,156241.25
hybrid_sort,15,23000,100,401138.03,209109.37
quick_sort,15,24000,100,414956.70,218755.30
dual_pivot_quick_sort,15,24000,100,377590.38,162062.44
hybrid_sort,15,24000,100,420145.52,222854.55
quick_sort,15,25000,100,434930.56,232824.11
dual_pivot_quick_sort,15,25000,100,397423.10,171319.28
hybrid_sort,15,25000,100,438349.99,229725.75
quick_sort,15,26000,100,455136.27,242179.51
dual_pivot_quick_sort,15,26000,100,414688.48,178291.36
hybrid_sort,15,26000,100,459138.55,240983.08
quick_sort,15,27000,100,473422.93,250723.44
dual_pivot_quick_sort,15,27000,100,432485.59,185734.13
hybrid_sort,15,27000,100,477352.28,250499.29
quick_sort,15,28000,100,494782.54,261028.90
dual_pivot_quick_sort,15,28000,100,451527.44,191894.60
hybrid_sort,15,28000,100,500028.60,261279.40
quick_sort,15,29000,100,517036.88,273803.62
dual_pivot_quick_sort,15,29000,100,468609.30,201702.12
hybrid_sort,15,29000,100,520035.63,274740.75
quick_sort,15,30000,100,534373.78,283825.48
dual_pivot_quick_sort,15,30000,100,487880.28,208061.13
hybrid_sort,15,30000,100,537378.79,281202.02
quick_sort,15,31000,100,554709.08,295394.84
dual_pivot_quick_sort,15,31000,100,505549.96,217149.93
hybrid_sort,15,31000,100,557285.67,290354.51
quick_sort,15,32000,100,572889.19,305542.41
dual_pivot_quick_sort,15,32000,100,523050.52,226618.20
hybrid_sort,15,32000,100,579385.45,304972.88
quick_sort,15,33000,100,597209.12,316079.72
dual_pivot_quick_sort,15,33000,100,541462.03,232318.24
hybrid_sort,15,33000,100,599895.88,314636.82
quick_sort,15,34000,100,609085.48,322157.99
dual_pivot_quick_sort,15,34000,100,557829.83,242027.04
hybrid_sort,15,34000,100,615540.03,325358.22
quick_sort,15,35000,100,634187.94,338099.01
dual_pivot_quick_sort,15,35000,100,579435.88,247121.96
hybrid_sort,15,35000,100,640342.94,337222.91
quick_sort,15,36000,100,653299.51,346899.00
dual_pivot_quick_sort,15,36000,100,593955.44,255564.58
hybrid_sort,15,36000,100,660371.00,344830.16
quick_sort,15,37000,100,670947.26,355665.07
dual_pivot_quick_sort,15,37000,100,614220.14,262515.36
hybrid_sort,15,37000,100,677559.84,358481.22
